"species","decimalLongitude","decimalLatitude"
"Anilios australis",117.366667,-32.75
"Anilios australis",115.95,-32.05
"Anilios australis",121.066667,-31.016667
"Anilios australis",120.3275,-33.586111
"Anilios australis",115.8,-31.983333
"Anilios australis",113.316667,-26.233333
"Anilios australis",115.633333,-33.316667
"Anilios australis",116.083333,-32.433333
"Anilios australis",115.983333,-31.666667
"Anilios australis",115.771111,-31.953889
"Anilios australis",115.5,-32.02
"Anilios australis",116.383333,-30.716667
"Anilios australis",116.883333,-33.033333
"Anilios australis",115.516667,-32
"Anilios australis",115.85,-31.95
"Anilios australis",116.05,-31.933333
"Anilios australis",126.278333,-32.062222
"Anilios australis",117.016667,-33.7
"Anilios australis",116.033333,-32.516667
"Anilios australis",120.5,-32.25
"Anilios australis",113.716667,-26.716667
"Anilios australis",120.03,-33.58
"Anilios australis",118.742222,-33.526667
"Anilios australis",116.016667,-32.183333
"Anilios australis",121.8,-30.75
"Anilios australis",117.366667,-32.75
"Anilios australis",116.316667,-31.966667
"Anilios australis",115.93,-31.655278
"Anilios australis",119.233333,-32.733333
"Anilios australis",115.066667,-30.5
"Anilios australis",116.230278,-33.125833
"Anilios australis",116.466667,-32.8
"Anilios australis",115.83,-32.12
"Anilios australis",120.633333,-32.333333
"Anilios australis",115.433,-33.633
"Anilios australis",116.1,-31.916667
"Anilios australis",117.495833,-31.789167
"Anilios australis",121.899444,-32.048056
"Anilios australis",117.02,-31.8
"Anilios australis",116.272222,-32.369444
"Anilios australis",115.45,-30.4
"Anilios australis",121.15,-30.95
"Anilios australis",115.416389,-33.648056
"Anilios australis",115.45,-30.4
"Anilios australis",117.366667,-32.75
"Anilios australis",116.05,-31.883333
"Anilios australis",121.466667,-30.733333
"Anilios australis",115.716667,-32.533333
"Anilios australis",115.85,-32
"Anilios australis",128.883,-31.7
"Anilios australis",115.25,-33.833333
"Anilios australis",115.5,-32.02
"Anilios australis",121.316667,-33.3
"Anilios australis",115.85,-32
"Anilios australis",116.316667,-31.85
"Anilios australis",115.270833,-30.798889
"Anilios australis",116.272222,-32.369444
"Anilios australis",121.25,-33.25
"Anilios australis",115.866667,-32
"Anilios australis",115.916667,-32.85
"Anilios australis",116.083333,-33.416667
"Anilios australis",115.033333,-34.066667
"Anilios australis",115.333333,-33.65
"Anilios australis",115.95,-31.85
"Anilios australis",115.433,-33.633
"Anilios australis",116.051111,-31.866667
"Anilios australis",115.8,-32.016667
"Anilios australis",116.206389,-33.353333
"Anilios australis",115.769444,-31.942222
"Anilios australis",116.5,-33.116667
"Anilios australis",116.033333,-32.183333
"Anilios australis",117.4,-32.016667
"Anilios australis",116.001944,-32.233889
"Anilios australis",115.883333,-31.983333
"Anilios australis",115.783333,-32.3
"Anilios australis",116.233333,-30.05
"Anilios australis",115.616667,-31.433333
"Anilios australis",117.645556,-32.89
"Anilios australis",116,-32.083333
"Anilios australis",115.766667,-31.966667
"Anilios australis",117.633,-34.033
"Anilios australis",115.45,-30.716667
"Anilios australis",115.8,-31.75
"Anilios australis",116.033333,-32.183333
"Anilios australis",120.3175,-33.565278
"Anilios australis",116.733333,-33.35
"Anilios australis",119.997778,-33.081389
"Anilios australis",123.866667,-33.616667
"Anilios australis",115.5,-32.02
"Anilios australis",118.803333,-33.360556
"Anilios australis",115.166667,-30.433333
"Anilios australis",117.55,-33.683333
"Anilios australis",115.5,-32.02
"Anilios australis",117.183333,-32.933333
"Anilios australis",121.47,-30.75
"Anilios australis",116.05,-32
"Anilios australis",115.866667,-31.95
"Anilios australis",117.566667,-33.566667
"Anilios australis",115.5,-32.02
"Anilios australis",113.5,-26.5
"Anilios australis",115.1,-30.266667
"Anilios australis",116.921111,-32.775833
"Anilios australis",120.1925,-33.725556
"Anilios australis",120.198889,-33.681944
"Anilios australis",113.716667,-28.433333
"Anilios australis",115.95,-32.016667
"Anilios australis",121.483,-30.783
"Anilios australis",117.366667,-32.75
"Anilios australis",121.150833,-32.9175
"Anilios australis",117.642222,-33.379167
"Anilios australis",121.833333,-33.866667
"Anilios australis",116.133333,-33.966667
"Anilios australis",122.4,-28.633
"Anilios australis",115.5,-32
"Anilios australis",115.9,-33.083333
"Anilios australis",115.95,-32.016667
"Anilios australis",116.116667,-32.083333
"Anilios australis",115.916667,-32.85
"Anilios australis",116.033333,-32
"Anilios australis",117.15,-33.833333
"Anilios australis",116.2,-31.866667
"Anilios australis",115.9,-31.35
"Anilios australis",115.250833,-30.613889
"Anilios australis",115.933333,-32.033333
"Anilios australis",120.741667,-32.025
"Anilios australis",116.530278,-32.141389
"Anilios australis",121.9375,-30.899444
"Anilios australis",115.866667,-32.1
"Anilios australis",115.5,-32.02
"Anilios australis",114.216667,-28.016667
"Anilios australis",115.566667,-30.45
"Anilios australis",115.766944,-31.941389
"Anilios australis",115.583333,-31.5
"Anilios australis",116.041111,-32.355
"Anilios australis",115.9,-32.966667
"Anilios australis",116.016667,-32.116667
"Anilios australis",116.066667,-31.916667
"Anilios australis",115.983333,-32.066667
"Anilios australis",116.119722,-30.020556
"Anilios australis",116.166667,-31.883333
"Anilios australis",118.483333,-33.966667
"Anilios australis",119.033333,-32.816667
"Anilios australis",115.9,-31.983333
"Anilios australis",116.05,-33.866
"Anilios australis",115.95,-32.05
"Anilios australis",115.966667,-31.883333
"Anilios australis",115.883333,-32.033333
"Anilios australis",117.633,-34.033
"Anilios australis",116.355,-32.998056
"Anilios australis",115.816667,-32.083333
"Anilios australis",115.783333,-31.85
"Anilios australis",116.018889,-32.063889
"Anilios australis",118.866667,-33.516667
"Anilios australis",116.1,-31.916667
"Anilios australis",121.15,-30.95
"Anilios australis",116.272222,-32.369444
"Anilios australis",120.05,-33.583333
"Anilios australis",116,-31.933333
"Anilios australis",115.95,-29
"Anilios australis",118.216667,-34.316667
"Anilios australis",117.633,-34.033
"Anilios australis",115.716667,-31.733333
"Anilios australis",117.033333,-31.283333
"Anilios australis",116.313611,-31.325278
"Anilios australis",117.366667,-32.75
"Anilios australis",115.933333,-31.866667
"Anilios australis",116.1,-32.533333
"Anilios australis",126.3,-32.236111
"Anilios australis",116.233333,-32.333333
"Anilios australis",118.916667,-34.166667
"Anilios australis",121.633333,-31.216667
