"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","prec_mean","prec_median","prec_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"60",9.833,24.8685157670796,25.0602293014526,4.21186321401735,15.3287906646729,36.9840774536133,0.190439475713184,0,0.392799238666848,2.19441096004478,1.72968548536301,1.54036197378855,247,1050,0.190439475713184,1297
"61",10,24.7843982998316,24.9935092926025,4.2377157376092,14.5492906570435,36.9809417724609,0.189708141321045,0,0.392220750222663,2.18478665134899,1.73143041133881,1.50060253771568,247,1055,0.189708141321045,1302
"62",10.167,24.6871280324632,24.9125595092773,4.21066666647868,14.4997701644897,37.0652465820312,0.189853958493467,0,0.392336268889637,2.17053348998352,1.73056781291962,1.48151072203702,247,1054,0.189853958493467,1301
"63",10.333,24.6100857470048,24.8122997283936,4.16476092944866,14.5260009765625,36.8101196289062,0.191472868217054,0,0.393612894338975,2.15327414704867,1.7210214138031,1.45822366301424,247,1043,0.191472868217054,1290
"64",10.5,24.5553342893266,24.7754440307617,4.14522758183534,14.5522317886353,36.8999061584473,0.191770186335404,0,0.393846179013468,2.13479397867309,1.71794605255127,1.42362836042658,247,1041,0.191770186335404,1288
"65",10.667,24.5151476339132,24.7334432601929,4.13126681027207,14.5784616470337,36.989688873291,0.191919191919192,0,0.393962957021865,2.12158068025313,1.71531999111176,1.39159090101287,247,1040,0.191919191919192,1287
"66",10.833,24.4584059665078,24.6607141494751,4.12583467747469,14.6046924591064,37.0794715881348,0.191439688715953,0,0.3935874587381,2.1215637648733,1.71531999111176,1.39222541894068,246,1039,0.191439688715953,1285
"67",11,24.3676750722618,24.5364761352539,4.09760477017317,14.6309232711792,35.9479827880859,0.191290824261275,0,0.393470498087413,2.10616468631131,1.71246445178986,1.36428752687696,246,1040,0.191290824261275,1286
"68",11.167,24.3263762993149,24.4697198867798,4.09172344570476,14.657154083252,36.0025978088379,0.191738113795791,0,0.393821653219634,2.093867192037,1.70767205953598,1.34106980505041,246,1037,0.191738113795791,1283
"69",11.333,24.2347362970051,24.397834777832,4.08729682356302,14.6833848953247,36.0572128295898,0.191439688715953,0,0.3935874587381,2.08723946157255,1.70924723148346,1.31920200679142,246,1039,0.191439688715953,1285
"70",11.5,24.1617886275841,24.380744934082,4.07954984352805,14.7096157073975,36.8269729614258,0.1921875,0,0.39417362910616,2.06510581680076,1.70668172836304,1.2726047689728,246,1034,0.1921875,1280
"71",11.667,24.1170278847154,24.3328399658203,4.06522125641443,14.7358465194702,36.8454971313477,0.192006269592476,0,0.394032410282223,2.05228694111077,1.703040599823,1.24491415062843,245,1031,0.192006269592476,1276
"72",11.833,24.0600003407338,24.2939014434814,4.07203448546845,14.762077331543,36.8640213012695,0.19170579029734,0,0.393796931177501,2.05525216001974,1.70668172836304,1.24751070652627,245,1033,0.19170579029734,1278
"73",12,24.011741680659,24.2609920501709,4.0536879075118,14.7883081436157,36.8825454711914,0.19170579029734,0,0.393796931177501,2.04902771333369,1.70668172836304,1.23232871499891,245,1033,0.19170579029734,1278
"74",12.167,23.9523547228645,24.1868267059326,4.03393830596368,14.8145389556885,36.9010696411133,0.198425196850394,0,0.398971145690436,2.02525385503463,1.67863440513611,1.21447426663799,252,1018,0.198425196850394,1270
"75",12.333,23.8854973543137,24.1177310943604,4.03138040267679,14.8407697677612,36.9195938110352,0.207874015748031,0,0.405946014805639,2.00918654228914,1.66076350212097,1.19704931652221,264,1006,0.207874015748031,1270
"76",12.5,23.8726171982122,24.0964126586914,4.02787323226126,14.867000579834,36.938117980957,0.217665615141956,0,0.412821628668059,1.98857517858282,1.62326502799988,1.17420228111643,276,992,0.217665615141956,1268
"77",12.667,23.8343031570124,24.0828971862793,4.04228516426009,13.9282550811768,36.9566421508789,0.224940805051302,0,0.41770821217882,1.97589858758859,1.59319132566452,1.176917139304,285,982,0.224940805051302,1267
"78",12.833,23.7952962239583,23.9956426620483,4.05142674605916,13.9525279998779,37.3428153991699,0.230830039525692,0,0.421530541240109,1.94345803619713,1.5680615901947,1.14339869021739,292,973,0.230830039525692,1265
"79",13,23.7501084963481,23.9339351654053,4.03434269083566,13.9768018722534,37.3338470458984,0.236363636363636,0,0.425016076322221,1.91900579820397,1.55307632684708,1.13356348561208,299,966,0.236363636363636,1265
"80",13.167,23.6794933978931,23.8572959899902,3.99595610213497,14.0010747909546,37.324878692627,0.237301587301587,0,0.42559758053057,1.91283223603223,1.54941475391388,1.13067790111977,299,961,0.237301587301587,1260
"81",13.333,23.6286579823029,23.7850332260132,3.99427958788566,14.0253486633301,37.3159141540527,0.237072394590294,0,0.425456317797229,1.89961198088662,1.54731607437134,1.09920378578382,298,959,0.237072394590294,1257
"82",13.5,23.6065328139346,23.7635593414307,3.99091416427145,14.0496215820312,37.3069458007812,0.236044657097289,0,0.424819365865878,1.89967327596573,1.54845118522644,1.09840140382884,296,958,0.236044657097289,1254
"83",13.667,23.568808224885,23.7369384765625,3.99314797895745,14.0721035003662,37.2979774475098,0.236421725239617,0,0.425053877554598,1.89886300078915,1.54618096351624,1.09940338455804,296,956,0.236421725239617,1252
"84",13.833,23.5367863585562,23.707950592041,3.99761983777997,14.092752456665,37.2890129089355,0.235247208931419,0,0.424322447905685,1.90205005106392,1.54845118522644,1.10138141437441,295,959,0.235247208931419,1254
"85",14,23.5087699817178,23.6649875640869,3.98381238649881,14.1134014129639,37.2800445556641,0.236,0,0.424792135858174,1.89053165840972,1.54618096351624,1.08252226368955,295,955,0.236,1250
"86",14.167,23.4242791131123,23.5931835174561,3.9675479298023,14.1340503692627,37.2710762023926,0.235623003194888,0,0.424557148365475,1.88268040031227,1.54845118522644,1.04857643914314,295,957,0.235623003194888,1252
"87",14.333,23.3802117573396,23.5557594299316,3.98596396910328,14.1546993255615,37.4044876098633,0.23482428115016,0,0.424058331716904,1.87840164962226,1.54878520965576,1.02774393725593,294,958,0.23482428115016,1252
"88",14.5,23.3399207707037,23.5096836090088,3.95374236338209,14.1753482818604,37.3782997131348,0.234963913392141,0,0.424146365239819,1.86281013063956,1.54731607437134,0.983685788138172,293,954,0.234963913392141,1247
"89",14.667,23.2830858942444,23.4499855041504,3.93023538428397,14.1724576950073,37.352108001709,0.235152487961477,0,0.424264372594781,1.86478978290778,1.54845118522644,0.986056303678428,293,953,0.235152487961477,1246
"90",14.833,23.2368620307781,23.3996448516846,3.93577336395253,14.1894817352295,37.3259162902832,0.234025559105431,0,0.423557420233785,1.87531569427856,1.54941475391388,0.994601074606846,293,959,0.234025559105431,1252
"91",15,23.1957396799668,23.3166942596436,3.95112866514902,14.2065057754517,37.2997283935547,0.232909379968203,0,0.42285308893333,1.87827668042767,1.55170786380768,0.979258643565477,293,965,0.232909379968203,1258
