"genus","species","scientific_name_intepreted","catalogue_number","institution","decimal_latitude_wgs84","decimal_longitude_wgs84","year","month","day","record_id"
"Anilios","Anilios ligatus","Anilios ligatus","J42176","Queensland Museum",-24.366667,150.983333,1983,12,10,"03b94bd0-1033-486e-b547-0fee1108d839"
"Anilios","Anilios ligatus","Anilios ligatus","1159181","",-17.18289,130.89952,1996,12,1,"0408db2b-3c0c-4474-ad72-92eea00a38ab"
"Anilios","Anilios ligatus","Anilios ligatus","R03821","Museum and Art Gallery of the Northern Territory",-14.467,132.267,1977,NA,NA,"04392fd6-d32b-42d2-9dc3-8662f1c66d71"
"Anilios","Anilios ligatus","Anilios ligatus","R20781","Museum and Art Gallery of the Northern Territory",-15.85,129.117,1990,5,13,"058207a0-36e8-43bd-acc1-3d8ac74289f0"
"Anilios","Anilios ligatus","Anilios ligatus","1160744","",-17.587876,126.013944,2004,11,7,"082c5abd-e746-4a9f-94ff-ec6c92c327d3"
"Anilios","Anilios ligatus","Anilios ligatus","R27053","Museum and Art Gallery of the Northern Territory",-12.733,131.65,2002,3,10,"08d4300c-bf48-4e67-9e4a-33e88fbe4156"
"Anilios","Anilios ligatus","Anilios ligatus","J6782","Queensland Museum",-23.366667,150.533333,NA,NA,NA,"0afa66e9-e04e-4696-89fc-69516bd9983a"
"Anilios","Anilios ligatus","Anilios ligatus","J55758","Queensland Museum",-25.166667,148.566667,1992,5,4,"0c7fc70a-7e92-4fe8-ad34-3db26e4c8508"
"Anilios","Anilios ligatus","Anilios ligatus","1154766","",-14.68388,129.74255,2007,6,16,"0cc3f1c3-5f1a-4647-b6e0-456f370f5b63"
"Anilios","Anilios ligatus","Anilios ligatus","J36883","Queensland Museum",-23.533333,148.25,1978,4,5,"10d537a3-15f6-4e09-bd98-5c8b5016c3d4"
"Anilios","Anilios ligatus","Anilios ligatus","R.95950","Australian Museum",-30.35,149.75,1980,NA,NA,"111a2fd9-5fda-4c78-a4b7-3cb9b0e59a2a"
"Anilios","Anilios ligatus","Anilios ligatus","1076619","",-11.57236,136.34964,1993,8,6,"116c9862-1137-44cc-a4ed-cd2cc52cddce"
"Anilios","Anilios ligatus","Anilios ligatus","R.158613","Australian Museum",-31.52749,147.20638,2000,4,15,"11db58ce-51f0-4db1-82a5-0a6fe03771fe"
"Anilios","Anilios ligatus","Anilios ligatus","J81293","Queensland Museum",-21.855,147.926667,2004,4,4,"120acc08-2a5a-4905-b64b-b87efc45f6c4"
"Anilios","Anilios ligatus","Anilios ligatus","43868731","",-19.497944,146.298004,2020,4,26,"12b1648c-b737-472a-9cc4-a186bc5719c6"
"Anilios","Anilios ligatus","Anilios ligatus","J90530","Queensland Museum",-28.476944,151.093611,2008,11,27,"1304bb39-92c1-4f3c-9813-390d28e6a84a"
"Anilios","Anilios ligatus","Anilios ligatus","R34654","Museum and Art Gallery of the Northern Territory",-13.409,132.273,2002,3,6,"1371a2f4-c769-472b-92d8-5a74acfc0b02"
"Anilios","Anilios ligatus","Anilios ligatus","R2820","South Australian Museum",-23.52,148.17,NA,NA,NA,"143b2c0e-fb99-4273-a31c-457913eb3dec"
"Anilios","Anilios ligatus","Anilios ligatus","429155","",-12.536384,130.918641,2008,5,4,"14702100-2e13-4154-8bf6-696245590e70"
"Anilios","Anilios ligatus","Anilios ligatus","J8821","Queensland Museum",-27.283333,152.85,NA,NA,NA,"15a25728-1dd0-49f3-8f8e-f85c7bffd35e"
"Anilios","Anilios ligatus","Anilios ligatus","J10498","Queensland Museum",-27.55,153.016667,NA,NA,NA,"162b2caf-2120-4f43-855f-afd13af20fb4"
"Anilios","Anilios ligatus","Anilios ligatus","J11477","Queensland Museum",-25.366667,151.116667,NA,NA,NA,"1924d509-8e7f-4ddc-8064-4b1af0d1bbe3"
"Anilios","Anilios ligatus","Anilios ligatus","R27101","Museum and Art Gallery of the Northern Territory",-16.267,131.814,2002,10,5,"1b2610aa-4501-4052-afe1-e60c326e92cd"
"Anilios","Anilios ligatus","Anilios ligatus","J57063","Queensland Museum",-23.533333,149.183333,1992,12,22,"1c9fa301-8ee5-43af-b30e-7daea2cf8aa2"
"Anilios","Anilios ligatus","Anilios ligatus","J39442","Queensland Museum",-26.733333,150.633333,NA,NA,NA,"1d8a95fb-2f13-4905-ab67-bac03eb0cf98"
"Anilios","Anilios ligatus","Anilios ligatus","R02925","Museum and Art Gallery of the Northern Territory",-12.6,131.267,1977,1,15,"1d95117b-1e58-4ed0-b640-73fb9b472f0f"
"Anilios","Anilios ligatus","Anilios ligatus","38230-WRBIO","",-31.5259890287609,147.207647,2000,4,15,"1dedf752-52eb-43fd-9bf3-9b517c038f7e"
"Anilios","Anilios ligatus","Anilios ligatus","SPJGI0049797","",-29.6680740257785,150.040618,2001,3,24,"1e0f4167-c5e5-46b7-a49c-0b411519083c"
"Anilios","Anilios ligatus","Anilios ligatus","406477","",-12.941944,132,2004,3,31,"1e6be0dd-4019-429f-926d-deea8806104c"
"Anilios","Anilios ligatus","Anilios ligatus","J7484","Queensland Museum",-28.583333,148.233333,NA,NA,NA,"1e7c9c8a-56cc-460c-bbf9-129f3f3d7c84"
"Anilios","Anilios ligatus","Anilios ligatus","J11165","Queensland Museum",-26.65,149.766667,NA,NA,NA,"1ecb7876-9bad-45df-9855-90529dbcb4e6"
"Anilios","Anilios ligatus","Anilios ligatus","R.20730","Australian Museum",-30.95,148.4,NA,NA,NA,"1f04264f-a878-4702-a10d-52ac51547cba"
"Anilios","Anilios ligatus","Anilios ligatus","1076656","",-11.57576,136.35134,1993,8,7,"1f23e204-9ea3-429a-85f7-d08644a51b65"
"Anilios","Anilios ligatus","Anilios ligatus","J2828","Queensland Museum",-23.566667,145.65,NA,NA,NA,"1fdaa7bd-d5cf-4f39-8ac2-35e285dc4493"
"Anilios","Anilios ligatus","Anilios ligatus","J77030","Queensland Museum",-27.533333,145.883333,NA,NA,NA,"208e10cf-4bc8-4fa2-a8aa-a0a3bf6d7286"
